id,xi,x1,x2,x3,x4,x5,x6,x7,x8,di,political aff,block
1,4,,,,1,,,,,6,Middle,2
2,8,,,,,,,,1,4,Middle,2
3,7,,,,,,,1,,4,Left,1
4,7,,,,,,,1,,6,Left,1
5,5,,,,,1,,,,3,Left,1
6,2,,1,,,,,,,5,Left,1
7,1,1,,,,,,,,4,Middle,2
8,7,,,,,,,1,,6,Right,3
9,7,,,,,,,1,,1,Middle,2
10,6,,,,,,1,,,3,Left,1
11,5,,,,,1,,,,6,Middle,2
12,5,,,,,1,,,,1,Left,1
13,5,,,,,1,,,,5,Middle,2
14,3,,,1,,,,,,5,Middle,2
15,3,,,1,,,,,,4,Middle,2
16,5,,,,,1,,,,3,Middle,2
17,8,,,,,,,,1,4,Left,1
18,2,,1,,,,,,,5,Middle,2
19,7,,,,,,,1,,7,Right,3
20,1,1,,,,,,,,7,Middle,2
21,6,,,,,,1,,,6,Left,1
22,4,,,,1,,,,,5,Left,1
23,2,,1,,,,,,,6,Left,1
24,7,,,,,,,1,,4,Left,1
25,6,,,,,,1,,,4,Left,1
26,3,,,1,,,,,,1,Left,1
27,3,,,1,,,,,,6,Middle,2
28,3,,,1,,,,,,5,Middle,2
29,8,,,,,,,,1,5,Left,1
30,2,,1,,,,,,,5,Left,1
31,4,,,,,,,,,6,Left,1
32,3,,,,1,,,,,6,Left,1
33,8,,,,,,,,1,4,Left,1
34,4,,,,1,,,,,6,Left,1
35,2,,1,,,,,,,7,Left,1
36,3,,,1,,,,,,3,Middle,2
37,5,,,,,1,,,,3,Left,1
38,1,1,,,,,,,,4,Middle,2
39,6,,,,,,1,,,3,Right,3
40,5,,,,,1,,,,4,Left,1
41,6,,,,,,1,,,4,Middle,2
42,1,1,,,,,,,,5,Right,3
43,1,1,,,,,,,,6,Left,1
44,1,1,,,,,,,,6,Middle,2
45,3,,,,,,,,,6,Left,1
46,6,,,,,,1,,,6,Left,1
47,5,,,,,1,,,,3,Left,1
48,2,,1,,,,,,,3,Left,1
49,2,,1,,,,,,,5,Right,3
50,6,,,,,,1,,,6,Left,1
